VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
686, 39468, -6.34628, -11.59072,  0.15198, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
687, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
688, 39496, -6.68443, -12.1171,  0.27661, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
689, 39457, -6.22025, -11.92483,  0.15198, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
690, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
691, 39540, -7.27462, -11.97526,  0.40137, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
692, 39496, -6.68443, -12.1171,  0.27661, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
693, 39515, -6.93647, -11.44888,  0.27661, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
694, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
695, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
696, 39505, -6.81045, -11.78299,  0.27661, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
697, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
